"Author","tDegr","CSCL_1995","CSCL_1997","CSCL_1999","CSCL_2002","CSCL_2003","CSCL_2005","CSCL_2007","CSCL_2009","CSCL_2011","CSCL_2013","CSCL_2015","CSCL_2017","CSCL_2019","ICLS_1996","ICLS_1998","ICLS_2000","ICLS_2004","ICLS_2006","ICLS_2008","ICLS_2010","ICLS_2012","ICLS_2014","ICLS_2016","ICLS_2018","ICLS_2020","ISLS_2021"
"Johnson__Chelsea",9,"","","","","","","","","","","","","","","","","","","","learning.environment","","","","","",""
"Kanter__David_E.",9,"","","","","","","","","","","","","","","","","","","","learning.experience","","","","","",""
"Knight__Amanda",9,"","","","","","","","","","","","","","","","","","","","learning.science","","","","","",""
"Kwon__Eun_Ju",9,"","","","","","","","","","","","","","","","","","","","learning.environment","","","","","",""
"Legare__Cristine",9,"","","","","","","","","","","","","","","","","","","","learning.science","","","","","",""
"Levine__John",9,"","","","","","","","","","","","","","","","","","","","collaborative.learning","","","","","",""
"Lombrozo__Tania",9,"","","","","","","","","","","","","","","","","","","","learning.science","","","","","",""
"McCarty__Glenda",9,"","","","","","","","","","","","","","","","","","","","community.practice","","","","","",""
"Mehus__Siri",9,"","","","","","","","","","","","","","","","","","","","case.study","learning.science","","","","",""
"Moore__Allison",9,"","","","","","","","","","","","","","","","","","","","solve.problem","","","","learning.environment","",""
"Newman__Alan",9,"","","","","","","","","","","","","","","","","","","","community.practice","","","","","",""
"Pearce__Laura",9,"","","","","","","","","","","","","","","","","","","","community.practice","","","","","",""
"Richards__Kimberly",9,"","","","","","","","","","","","","","","","","","","","ethnographic.study","","","","","",""
"Saul__E._Wendy",9,"","","","","","","","","","","","","","","","","","","","community.practice","","","","","",""
"Singer__Nancy",9,"","","","","","","","","","","","","","","","","","","","community.practice","","","","","",""
"Stringer__Daniel",9,"","","","","","","","","","","","","","","","","","","","learning.environment","","","","","",""
"Turley__Eric",9,"","","","","","","","","","","","","","","","","","","","community.practice","","","","","",""
"van_Meter__Peggy",9,"","","","","","","","","","","","","","","","","","","","learning.environment","","","","","",""
"Visintainer__Tammie",9,"","","","","","","","","","","","","","","","","","","","student.learning","","scientific.practice","high.school","","learning.science",""
"White__Barbara",9,"","","","","","","","","","","","","","","","","","","","learning.science","","","","","",""
"Wilhelm__Pascal",9,"","","","","","","","","","","","","","","","","","","","learning.environment","","","","","",""
"Zembal.Saul__Carla",9,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Beauvineau__Yves",9,"","","","","","","","","","","","","","","","","","","","","middle.school","learning.environment","","","",""
"Cerniak__Gabriele",9,"","","","","","","","","","","","","","","","","","","","","student.learning","","","","",""
"Cisterna__Dante",9,"","","","","","","","","","","","","","","","","","","","","learning.environment","","","","complex.system",""
"Engle__Randi_A.",9,"","","","","","","","","","","","","","","","","","","","","high.school","","","","",""
"Halb__Wolfgang",9,"","","","","","","","","","","","","","","","","","","","","student.learning","","","","",""
"Hsu__Richard",9,"","","","","","","","","","","","","","","","","","","","","high.school","","","","",""
"Jahreie__Cecilie_F.",9,"","","","","","","","","","","","","","","","","","","","","learning.science","","","","",""
"Johnson__Matthew",9,"","","","","","","","","","","","","","","","","","","","","student.learning","","","","",""
"Jornet__Alfredo",9,"","","","","","","","","","","","","","","","","","","","","learning.science","","learning.process","","",""
"Knuth__Randy",9,"","","","","","","","","","","","","","","","","","","","","high.school","","","","",""
"Kossowski__Michal",9,"","","","","","","","","","","","","","","","","","","","","student.learning","","","","",""
"Lam__Diane",9,"","","","","","","","","","","","","","","","","","","","","high.school","","","","",""
"Lazonder__Ard",9,"","","","","","","","","","","","","","","","","","","","","prior.knowledge","","","","",""
"McNaughton__James",9,"","","","","","","","","","","","","","","","","","","","","learning.science","","","","",""
"Meyer__Xenia",9,"","","","","","","","","","","","","","","","","","","","","high.school","","","","",""
"Mulder__Yvonne",9,"","","","","","","","","","","","","","","","","","","","","prior.knowledge","","","","",""
"Munn__Maureen",9,"","","","","","","","","","","","","","","","","","","","","high.school","","","","",""
"Naves__Erica",9,"","","","","","","","","","","","","","","","","","","","","high.school","","","","",""
"Perez__Sarah",9,"","","","","","","","","","","","","","","","","","","","","high.school","","","","",""
"Rachel__Alexander",9,"","","","","","","","","","","","","","","","","","","","","prior.knowledge","","","","",""
"Rosas__Hernan",9,"","","","","","","","","","","","","","","","","","","","","high.school","","","","",""
"Tan__Danny",9,"","","","","","","","","","","","","","","","","","","","","high.school","","","","",""
"Utz__Wilfrid",9,"","","","","","","","","","","","","","","","","","","","","student.learning","","","","",""
"Wiesner__Hartmut",9,"","","","","","","","","","","","","","","","","","","","","prior.knowledge","","","","",""
"Zheng__Kathleen",9,"","","","","","","","","","","","","","","","","","","","","high.school","","","","",""
"Britt__M._Anne",9,"","","","","","","","","","","","","","","","","","","","","","disciplinary.practice","","","","learning.science"
"Burke__Quinn",9,"","","","","","","","","","","","","","","","","","","","","","video.game","","","",""
"Chowning__Jeanne",9,"","","","","","","","","","","","","","","","","","","","","","learning.environment","","","",""
"Hetmanek__Andreas",9,"","","","","","","","","","","","","","","","","","","","","","learning.environment","","","",""
"Klein__Elaine",9,"","","","","","","","","","","","","","","","","","","","","","learning.environment","","","",""
"McGowan__Veronica",9,"","","","","","","","","","","","","","","","","","","","","","learning.environment","","","",""
"Mote__Chad",9,"","","","","","","","","","","","","","","","","","","","","","video.game","","","",""
"Paquette__Luc",9,"","","","","","","","","","","","","","","","","","","","","","learning.environment","","learning.environment","",""
"Peterman__Tana",9,"","","","","","","","","","","","","","","","","","","","","","learning.environment","","","",""
"Rinhart__Ronald_W.",9,"","","","","","","","","","","","","","","","","","","","","","learning.environment","","","",""
"Siler__Stephanie_A.",9,"","","","","","","","","","","","","","","","","","","","","","learning.environment","","","",""
"Anderson__Craig_G.",9,"","","","","","","","","","","","","","","","","","","","","","","learning.environment","","",""
"Bal__Aydin",9,"","","","","","","","","","","","","","","","","","","","","","","learning.science","","",""
"Baruch__Alona_Forkosh",9,"","","","","","","","","","","","","","","","","","","","","","","professional.development","","",""
"Binzak__John_V.",9,"","","","","","","","","","","","","","","","","","","","","","","learning.environment","","",""
"Chikunda__Charles",9,"","","","","","","","","","","","","","","","","","","","","","","learning.science","","",""
"Dalsen__Jennifer",9,"","","","","","","","","","","","","","","","","","","","","","","learning.environment","","",""
"Greenhow__Chrisine",9,"","","","","","","","","","","","","","","","","","","","","","","professional.development","","",""
"Huang__Jun_Song",9,"","","","","","","","","","","","","","","","","","","","","","","learning.environment","","","prior.knowledge"
"Jordan.Douglass__Anna",9,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lam__Rachel",9,"","","","","","","","","","","","","","","","","","","","","","","learning.environment","","",""
"Lee__Yew_Jin",9,"","","","","","","","","","","","","","","","","","","","","","","learning.science","","",""
"Lesama__Manoel_Flores",9,"","","","","","","","","","","","","","","","","","","","","","","learning.science","","",""
"Lotz.Sisitka__Heila",9,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pesanayi__Tichaona",9,"","","","","","","","","","","","","","","","","","","","","","","learning.science","","",""
"Picinatto__Antonio_Carlos",9,"","","","","","","","","","","","","","","","","","","","","","","learning.science","","",""
"Saucerman__Jenny",9,"","","","","","","","","","","","","","","","","","","","","","","learning.environment","","",""
"Turker__Aybuke",9,"","","","","","","","","","","","","","","","","","","","","","","learning.environment","","",""
"de_Freitas__Elizabeth",9,"","","","","","","","","","","","","","","","","","","","","","","","case.study","",""
"Donaldson__Jonan_Phillip",9,"","","","","","","","","","","","","","","","","","","","","","","","collaborative.learning","","design.based.research"
"Ferrara__Francesca",9,"","","","","","","","","","","","","","","","","","","","","","","","case.study","",""
"Ferrari__Giulia",9,"","","","","","","","","","","","","","","","","","","","","","","","case.study","",""
"Gould__Deena",9,"","","","","","","","","","","","","","","","","","","","","","","","social.network","learning.activity",""
"Kelton__Molly_L",9,"","","","","","","","","","","","","","","","","","","","","","","","case.study","",""
"Lobczowski__Nikki_G.",9,"","","","","","","","","","","","","","","","","","","","","","","","high.school","","collaborative.learning"
"McIntyre__Cynthia",9,"","","","","","","","","","","","","","","","","","","","","","","","learning.environment","case.study",""
