"Author","tDegr","CSCL_1995","CSCL_1997","CSCL_1999","CSCL_2002","CSCL_2003","CSCL_2005","CSCL_2007","CSCL_2009","CSCL_2011","CSCL_2013","CSCL_2015","CSCL_2017","CSCL_2019","ICLS_1996","ICLS_1998","ICLS_2000","ICLS_2004","ICLS_2006","ICLS_2008","ICLS_2010","ICLS_2012","ICLS_2014","ICLS_2016","ICLS_2018","ICLS_2020","ISLS_2021"
"Reiser__Brian",55,"learning.environment","learning.environment","","middle.school","","","","","","","","","","student.learning","","design.process","learning.environment","student.teacher","learning.science","","","case.study","","middle.school","science.education",""
"Lund__Kristine",55,"","problem.solving","","","interaction.analysis","","problem.solving","learning.environment","collaborative.learning","learning.situation","","collaborative.learning","collaborative.learning","","","","","","teacher.student","student.learning","learning.situation","","learning.science","","",""
"Seitamaa.Hakkarainen__Pirita",55,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dimitriadis__Yannis",55,"","","","","","","collaborative.learning","collaborative.learning","collaborative.learning","collaborative.learning","collaborative.learning","","learning.activity","","","","","","","","","","","","",""
"Dyke__Gregory",55,"","","","","","","","learning.environment","collaborative.learning","collaborative.learning","collaborative.learning","","","","","","","","teacher.student","","learning.environment","","","","",""
"Shen__Ji",55,"","","","","","","","","learning.environment","learning.environment","","","stem.learning","","","","","professional.development","student.learning","science.classroom","learning.science","student.knowledge","collaborative.learning","computational.thinking","science.education",""
"Georgen__Chris",55,"","","","","","","","","","","case.study","learning.environment","science.learning","","","","","","","","","","","science.classroom","learning.activity","learning.science"
"Sherin__Bruce",55,"","","","","","","","","","","","","learning.environment","","","student.engaged","","middle.school","theoretical.framework","learning.science","learning.science","","","learning.science","student.learning","science.education"
"Van_Horne__Katie",55,"","","","","","","","","","","","","","","","","","","","","high.school","learning.environment","learning.environment","science.education","teacher.student",""
"Levy__Sharona_T.",55,"","","","","","","","","","","","","","","","","","","","","","learning.science","","design.learning","learning.science","learning.environment"
"Derry__Sharon",54,"","","","learning.science","","learning.science","","","","learning.science","","","","learning.environment","","learning.environment","learning.environment","content.knowledge","collaborative.learning","professional.development","","learning.science","middle.school","middle.school","",""
"Schneider__Bertrand",54,"","","","","","","","learning.environment","","learning.gain","learning.gain","collaborative.learning","collaborative.learning","","","","","","","","","","group.student","small.group","learning.environment","student.learning"
"Sharma__Kshitij",54,"","","","","","","","","","learning.environment","student.learning","learning.environment","collaborative.learning","","","","","","","","","learning.environment","learning.gain","learning.environment","learning.environment","collaborative.process"
